33.672586,-117.603408,376
33.647588,-117.573942,343
33.613868,-117.541368,454
33.591549,-117.501491,289
33.57934,-117.474364,788
33.572532,-117.456008,808
33.568317,-117.427202,685
33.580039,-117.394939,720
33.617168,-117.367104,913
33.67905,-117.338888,390
33.761731,-117.311207,621
33.809785,-117.300827,589
33.833818,-117.295648,502
33.897904,-117.281859,476
33.962694,-117.272881,682
34.024227,-117.269522,428
34.068311,-117.259961,324
34.112365,-117.250439,332
34.128339,-117.247027,344
34.168244,-117.238501,617
34.200142,-117.231679,907
34.234567,-117.214325,1744
34.281655,-117.199217,1624
34.324383,-117.1798,1336
34.374452,-117.153728,1319
34.407736,-117.126328,1121
34.411032,-117.120588,1149
34.404101,-117.102094,1306
34.365356,-117.065689,1761
34.318535,-117.031223,1974
34.261324,-117.009015,2372
34.190959,-116.979419,1626
34.113836,-116.96167,1974
34.097123,-116.960373,1353
34.02092,-116.947,1281
33.979594,-116.945727,947
33.963631,-116.949081,876
33.909487,-116.945656,756
33.835987,-116.951782,978
33.777756,-116.949543,481
33.753004,-116.949961,499
33.682744,-116.95038,568
33.617248,-116.95485,749
33.535,-116.957954,713
33.494228,-116.961888,444
33.449481,-116.966736,629
33.412024,-116.965048,1029
33.354444,-116.967575,1270
33.30082,-116.969194,312
33.284054,-116.967871,264
33.243225,-116.971741,463
33.193586,-116.972501,475
33.14388,-116.973233,590
33.105462,-116.966575,378
33.087896,-116.960429,128
33.066298,-116.955139,440
33.03449,-116.937248,408
32.984344,-116.908436,511
32.965225,-116.8927,269
32.942148,-116.877879,424
32.923827,-116.866982,471
32.86765,-116.824977,416
32.823526,-116.780416,560
32.784139,-116.739795,536
32.767749,-116.713888,705
32.759346,-116.686206,760
32.746873,-116.659364,729
32.740841,-116.621165,973
32.735553,-116.587741,1213
32.737589,-116.547836,1081
32.759603,-116.528414,1207
32.813188,-116.49741,1210
32.875771,-116.473634,1588
32.919735,-116.463722,1645
33.057558,-116.44312,929
33.138367,-116.455171,764
33.197221,-116.461457,1061
33.217912,-116.461625,1005
33.357775,-116.48047,596
33.501704,-116.499091,1484
33.544011,-116.504798,1689
33.645056,-116.516196,1058
33.734177,-116.529926,348
33.793226,-116.536462,137
33.813999,-116.536789,128
33.889082,-116.539896,190
33.958638,-116.534516,338
34.019367,-116.526333,738
34.05533,-116.51852,849
34.079296,-116.513291,866
34.121766,-116.493859,1283
34.139516,-116.474862,1113
34.147779,-116.447952,1254
34.152346,-116.396636,1070
34.155916,-116.36548,979
34.155443,-116.335369,957
34.156459,-116.314977,828
34.152707,-116.290693,806
34.141926,-116.247935,749
34.123867,-116.211933,828
34.107308,-116.185656,1092
34.071723,-116.143543,1202
34.016286,-116.080971,1357
33.956004,-116.014895,1054
33.874174,-115.94244,1054
33.717255,-115.818137,894
33.64451,-115.779005,538
33.579731,-115.738363,908
33.50836,-115.708838,178
33.450533,-115.686502,129
33.394363,-115.674114,-38
33.333378,-115.65808,-70
33.282798,-115.65471,-70
33.239432,-115.644604,-70
33.221767,-115.638633,-70
33.174359,-115.629481,-67
33.105221,-115.615237,-59
33.02639,-115.61829,-46
33.013515,-115.616218,-43
32.960389,-115.598255,-26
32.947504,-115.596184,-23
32.920919,-115.587222,-22
32.89917,-115.582153,-21
32.876582,-115.572234,-19
32.862883,-115.565321,-18
32.848352,-115.553564,-18
